reporting_period,fiscal_year,fiscal_quarter,fiscal_month,entity,legal_entity_code,currency,row_type,gl_account,gl_account_name,cost_center,department,region,product_line,customer_segment,category,subcategory,vendor_name,invoice_id,revenue,cogs,opex,amount,budget_revenue,budget_opex,budget_amount,variance_amount,headcount_allocated,fte_count,transaction_count,active_customers,arr_millions,net_revenue_retention_pct,logo_churn_pct,gross_margin_pct,ebitda,cash_collections,deferred_revenue,americas_pct,emea_pct,apac_pct,source_system,last_updated,preparer,notes
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6200-42,Sales Commissions,CC-FIN-AP,Finance,APAC,,,Sales Commissions,Sales Commissions - Finance,CrowdStrike,AP-202201-100013,0,0,,1795.67,,,1862.17,-66.50,42.75,,6,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: CrowdStrike
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6200-54,Sales Commissions,CC-PEO-Am,People Ops,Americas,,,Sales Commissions,Sales Commissions - People Ops,Google Cloud,AP-202201-100014,0,0,,1332.83,,,1382.19,-49.36,31.73,,15,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Google Cloud
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6210-29,Paid Media,CC-MAR-EM,Marketing,EMEA,,,Paid Media,Paid Media - Marketing,Notion,AP-202201-100015,0,0,,321.94,,,333.86,-11.92,7.67,,16,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Notion
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6210-37,Paid Media,CC-SAL-La,Sales,LatAm,,,Paid Media,Paid Media - Sales,Figma,AP-202201-100016,0,0,,4491.28,,,4657.61,-166.33,106.94,,30,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Figma
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6210-87,Paid Media,CC-OPE-AP,Operations,APAC,,,Paid Media,Paid Media - Operations,Gusto,AP-202201-100017,0,0,,188.88,,,195.87,-6.99,4.5,,39,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Gusto
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6210-49,Paid Media,CC-OPE-Am,Operations,Americas,,,Paid Media,Paid Media - Operations,Gusto,AP-202201-100018,0,0,,145.58,,,150.97,-5.39,3.47,,7,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Gusto
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6215-98,Events & Sponsorships,CC-FIN-EM,Finance,EMEA,,,Events & Sponsorships,Events & Sponsorships - Finance,,AP-202201-100019,0,0,,44.19,,,45.83,-1.64,1.05,,41,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6215-97,Events & Sponsorships,CC-MAR-Am,Marketing,Americas,,,Events & Sponsorships,Events & Sponsorships - Marketing,Atlassian,AP-202201-100020,0,0,,536.84,,,556.73,-19.89,12.78,,39,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Atlassian
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6215-64,Events & Sponsorships,CC-PRO-Am,Product,Americas,,,Events & Sponsorships,Events & Sponsorships - Product,,AP-202201-100021,0,0,,1165.64,,,1208.81,-43.17,27.75,,43,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6215-11,Events & Sponsorships,CC-G&A-Am,G&A,Americas,,,Events & Sponsorships,Events & Sponsorships - G&A,Datadog,AP-202201-100022,0,0,,1648.91,,,1709.97,-61.06,39.26,,27,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Datadog
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6300-93,Software Subscriptions,CC-PEO-EM,People Ops,EMEA,,,Software Subscriptions,Software Subscriptions - People Ops,Twilio,AP-202201-100023,0,0,,344.83,,,357.60,-12.77,8.21,,18,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Twilio
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6300-44,Software Subscriptions,CC-SEC-La,Security,LatAm,,,Software Subscriptions,Software Subscriptions - Security,Figma,AP-202201-100024,0,0,,3139.20,,,3255.46,-116.26,74.74,,21,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Figma
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6300-67,Software Subscriptions,CC-MAR-Am,Marketing,Americas,,,Software Subscriptions,Software Subscriptions - Marketing,,AP-202201-100025,0,0,,2076.66,,,2153.57,-76.91,49.44,,16,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6310-37,Cloud Hosting,CC-PEO-AP,People Ops,APAC,,,Cloud Hosting,Cloud Hosting - People Ops,,AP-202201-100026,0,0,,1668.18,,,1729.96,-61.78,39.72,,23,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6310-86,Cloud Hosting,CC-CUS-AP,Customer Success,APAC,,,Cloud Hosting,Cloud Hosting - Customer Success,,AP-202201-100027,0,0,,1956.06,,,2028.50,-72.44,46.57,,45,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6310-20,Cloud Hosting,CC-CUS-Am,Customer Success,Americas,,,Cloud Hosting,Cloud Hosting - Customer Success,Rippling,AP-202201-100028,0,0,,984.77,,,1021.24,-36.47,23.45,,16,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Rippling
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6315-21,Customer Support Tools,CC-OPE-La,Operations,LatAm,,,Customer Support Tools,Customer Support Tools - Operations,AWS,AP-202201-100029,0,0,,712.55,,,738.94,-26.39,16.97,,19,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: AWS
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6315-94,Customer Support Tools,CC-MAR-La,Marketing,LatAm,,,Customer Support Tools,Customer Support Tools - Marketing,Atlassian,AP-202201-100030,0,0,,973.34,,,1009.39,-36.05,23.17,,38,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Atlassian
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6315-64,Customer Support Tools,CC-G&A-La,G&A,LatAm,,,Customer Support Tools,Customer Support Tools - G&A,Snowflake,AP-202201-100031,0,0,,421.34,,,436.94,-15.60,10.03,,36,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Snowflake
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6315-49,Customer Support Tools,CC-G&A-AP,G&A,APAC,,,Customer Support Tools,Customer Support Tools - G&A,Zoom,AP-202201-100032,0,0,,834.69,,,865.60,-30.91,19.87,,17,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Zoom
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6400-71,R&D Contractors,CC-PRO-EM,Product,EMEA,,,R&D Contractors,R&D Contractors - Product,,AP-202201-100033,0,0,,618.77,,,641.68,-22.91,14.73,,18,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6400-47,R&D Contractors,CC-OPE-AP,Operations,APAC,,,R&D Contractors,R&D Contractors - Operations,Rippling,AP-202201-100034,0,0,,987.64,,,1024.22,-36.58,23.52,,15,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Rippling
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6500-47,Legal & Compliance,CC-CUS-Am,Customer Success,Americas,,,Legal & Compliance,Legal & Compliance - Customer Success,Intercom,AP-202201-100035,0,0,,377.84,,,391.83,-13.99,9.0,,45,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Intercom
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6500-11,Legal & Compliance,CC-SAL-La,Sales,LatAm,,,Legal & Compliance,Legal & Compliance - Sales,,AP-202201-100036,0,0,,29.79,,,30.89,-1.10,0.71,,37,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6500-33,Legal & Compliance,CC-CUS-La,Customer Success,LatAm,,,Legal & Compliance,Legal & Compliance - Customer Success,Datadog,AP-202201-100037,0,0,,1124.70,,,1166.35,-41.65,26.78,,4,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Datadog
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6510-90,Accounting & Audit,CC-FIN-La,Finance,LatAm,,,Accounting & Audit,Accounting & Audit - Finance,,AP-202201-100038,0,0,,1659.67,,,1721.13,-61.46,39.52,,44,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6510-82,Accounting & Audit,CC-ENG-EM,Engineering,EMEA,,,Accounting & Audit,Accounting & Audit - Engineering,,AP-202201-100039,0,0,,842.53,,,873.73,-31.20,20.06,,20,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6510-63,Accounting & Audit,CC-PRO-EM,Product,EMEA,,,Accounting & Audit,Accounting & Audit - Product,,AP-202201-100040,0,0,,1449.89,,,1503.58,-53.69,34.52,,39,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6520-49,Insurance,CC-PEO-AP,People Ops,APAC,,,Insurance,Insurance - People Ops,CrowdStrike,AP-202201-100041,0,0,,1886.45,,,1956.31,-69.86,44.92,,37,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: CrowdStrike
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6520-36,Insurance,CC-SEC-Am,Security,Americas,,,Insurance,Insurance - Security,HubSpot,AP-202201-100042,0,0,,538.42,,,558.36,-19.94,12.82,,41,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: HubSpot
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6520-40,Insurance,CC-MAR-AP,Marketing,APAC,,,Insurance,Insurance - Marketing,Gusto,AP-202201-100043,0,0,,1246.69,,,1292.86,-46.17,29.68,,12,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Gusto
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6520-62,Insurance,CC-DAT-Am,Data Platform,Americas,,,Insurance,Insurance - Data Platform,,AP-202201-100044,0,0,,1074.78,,,1114.58,-39.80,25.59,,29,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6600-39,Office & Facilities,CC-OPE-La,Operations,LatAm,,,Office & Facilities,Office & Facilities - Operations,,AP-202201-100045,0,0,,1052.12,,,1091.08,-38.96,25.05,,17,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6600-38,Office & Facilities,CC-LEG-EM,Legal,EMEA,,,Office & Facilities,Office & Facilities - Legal,Intercom,AP-202201-100046,0,0,,516.06,,,535.17,-19.11,12.29,,42,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Intercom
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6600-17,Office & Facilities,CC-SAL-AP,Sales,APAC,,,Office & Facilities,Office & Facilities - Sales,Salesforce,AP-202201-100047,0,0,,410.13,,,425.32,-15.19,9.77,,11,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Salesforce
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6600-98,Office & Facilities,CC-CUS-AP,Customer Success,APAC,,,Office & Facilities,Office & Facilities - Customer Success,Deloitte,AP-202201-100048,0,0,,1252.59,,,1298.98,-46.39,29.82,,20,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Deloitte
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6610-87,Travel,CC-SEC-Am,Security,Americas,,,Travel,Travel - Security,Datadog,AP-202201-100049,0,0,,946.16,,,981.20,-35.04,22.53,,17,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Datadog
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6610-96,Travel,CC-ENG-Am,Engineering,Americas,,,Travel,Travel - Engineering,,AP-202201-100050,0,0,,639.96,,,663.66,-23.70,15.24,,37,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6610-83,Travel,CC-SEC-Am,Security,Americas,,,Travel,Travel - Security,Zoom,AP-202201-100051,0,0,,1269.31,,,1316.32,-47.01,30.22,,3,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Zoom
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6610-45,Travel,CC-SAL-La,Sales,LatAm,,,Travel,Travel - Sales,Deloitte,AP-202201-100052,0,0,,1029.02,,,1067.13,-38.11,24.5,,12,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Deloitte
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6615-23,Meals & Entertainment,CC-FIN-AP,Finance,APAC,,,Meals & Entertainment,Meals & Entertainment - Finance,,AP-202201-100053,0,0,,275.86,,,286.07,-10.21,6.57,,11,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6615-94,Meals & Entertainment,CC-G&A-La,G&A,LatAm,,,Meals & Entertainment,Meals & Entertainment - G&A,Atlassian,AP-202201-100054,0,0,,515.31,,,534.39,-19.08,12.27,,26,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Atlassian
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6615-42,Meals & Entertainment,CC-DAT-Am,Data Platform,Americas,,,Meals & Entertainment,Meals & Entertainment - Data Platform,Datadog,AP-202201-100055,0,0,,613.28,,,635.99,-22.71,14.6,,21,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Datadog
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6615-94,Meals & Entertainment,CC-PRO-La,Product,LatAm,,,Meals & Entertainment,Meals & Entertainment - Product,AWS,AP-202201-100056,0,0,,297.45,,,308.47,-11.02,7.08,,35,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: AWS
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6620-44,Recruiting,CC-PEO-La,People Ops,LatAm,,,Recruiting,Recruiting - People Ops,Rippling,AP-202201-100057,0,0,,206.16,,,213.79,-7.63,4.91,,36,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Rippling
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6620-25,Recruiting,CC-SAL-AP,Sales,APAC,,,Recruiting,Recruiting - Sales,Stripe,AP-202201-100058,0,0,,93.58,,,97.05,-3.47,2.23,,2,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Stripe
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6620-80,Recruiting,CC-LEG-EM,Legal,EMEA,,,Recruiting,Recruiting - Legal,Atlassian,AP-202201-100059,0,0,,180.48,,,187.17,-6.69,4.3,,1,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Atlassian
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6625-75,Training,CC-PRO-EM,Product,EMEA,,,Training,Training - Product,Atlassian,AP-202201-100060,0,0,,455.10,,,471.96,-16.86,10.84,,18,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Atlassian
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6625-68,Training,CC-FIN-La,Finance,LatAm,,,Training,Training - Finance,WeWork,AP-202201-100061,0,0,,250.65,,,259.93,-9.28,5.97,,36,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: WeWork
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6625-86,Training,CC-SAL-La,Sales,LatAm,,,Training,Training - Sales,,AP-202201-100062,0,0,,938.56,,,973.32,-34.76,22.35,,33,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6625-63,Training,CC-OPE-EM,Operations,EMEA,,,Training,Training - Operations,Zoom,AP-202201-100063,0,0,,126.56,,,131.25,-4.69,3.01,,22,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Zoom
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6700-78,Depreciation,CC-SEC-La,Security,LatAm,,,Depreciation,Depreciation - Security,Deloitte,AP-202201-100064,0,0,,245.42,,,254.51,-9.09,5.84,,31,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Deloitte
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6700-58,Depreciation,CC-G&A-AP,G&A,APAC,,,Depreciation,Depreciation - G&A,Intercom,AP-202201-100065,0,0,,2.36,,,2.44,-0.08,0.06,,30,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Intercom
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6700-83,Depreciation,CC-G&A-EM,G&A,EMEA,,,Depreciation,Depreciation - G&A,WeWork,AP-202201-100066,0,0,,666.95,,,691.65,-24.70,15.88,,25,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: WeWork
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6700-70,Depreciation,CC-MAR-La,Marketing,LatAm,,,Depreciation,Depreciation - Marketing,,AP-202201-100067,0,0,,769.30,,,797.79,-28.49,18.32,,25,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6710-74,Amortization,CC-SAL-La,Sales,LatAm,,,Amortization,Amortization - Sales,LinkedIn,AP-202201-100068,0,0,,805.04,,,834.86,-29.82,19.17,,38,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: LinkedIn
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6710-22,Amortization,CC-G&A-Am,G&A,Americas,,,Amortization,Amortization - G&A,Deloitte,AP-202201-100069,0,0,,645.39,,,669.29,-23.90,15.37,,34,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Deloitte
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6710-93,Amortization,CC-PEO-Am,People Ops,Americas,,,Amortization,Amortization - People Ops,CrowdStrike,AP-202201-100070,0,0,,531.06,,,550.72,-19.66,12.64,,10,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: CrowdStrike
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6800-96,Bank Fees,CC-G&A-La,G&A,LatAm,,,Bank Fees,Bank Fees - G&A,Datadog,AP-202201-100071,0,0,,1092.47,,,1132.93,-40.46,26.01,,35,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Datadog
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6800-79,Bank Fees,CC-FIN-AP,Finance,APAC,,,Bank Fees,Bank Fees - Finance,Stripe,AP-202201-100072,0,0,,2255.27,,,2338.79,-83.52,53.7,,3,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Stripe
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6810-91,Bad Debt,CC-OPE-Am,Operations,Americas,,,Bad Debt,Bad Debt - Operations,HubSpot,AP-202201-100073,0,0,,22.41,,,23.24,-0.83,0.53,,7,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: HubSpot
