date,fiscal_year,fiscal_quarter,entity,row_type,gl_account,category,department,revenue,cogs,opex,amount,budget_revenue,budget_opex
2022-09-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6998-CLO,Cloud Infrastructure,Consolidated,0,0,,3673.72,,
2022-09-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6887-G&A,G&A,Consolidated,0,0,,2983.02,,
2022-09-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6664-PRO,Professional Services,Consolidated,0,0,,1895.41,,
2022-09-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6838-TRA,Travel,Consolidated,0,0,,1406.98,,
2022-09-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6986-DEP,Depreciation,Consolidated,0,0,,2241.44,,
2022-09-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6320-OTH,Other Operating,Consolidated,0,0,,2256.00,,
2022-10-01,2022,2022-Q4,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,115423.41,28776.48,76106.11,,119355.65,79396.37
2022-10-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6540-PAY,Payroll & Benefits,Consolidated,0,0,,44516.39,,
2022-10-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6562-SAL,Sales & Marketing,Consolidated,0,0,,11994.38,,
2022-10-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6333-RES,Research & Development,Consolidated,0,0,,6699.51,,
2022-10-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6523-CLO,Cloud Infrastructure,Consolidated,0,0,,3855.82,,
2022-10-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6447-G&A,G&A,Consolidated,0,0,,2556.35,,
2022-10-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6947-PRO,Professional Services,Consolidated,0,0,,1492.73,,
2022-10-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6564-TRA,Travel,Consolidated,0,0,,1445.26,,
2022-10-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6508-DEP,Depreciation,Consolidated,0,0,,1922.34,,
2022-10-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6525-OTH,Other Operating,Consolidated,0,0,,1623.33,,
2022-11-01,2022,2022-Q4,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,121482.33,30038.47,78004.08,,128281.62,80075.58
2022-11-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6847-PAY,Payroll & Benefits,Consolidated,0,0,,45507.30,,
2022-11-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6197-SAL,Sales & Marketing,Consolidated,0,0,,13071.00,,
2022-11-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6420-RES,Research & Development,Consolidated,0,0,,5995.64,,
2022-11-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6537-CLO,Cloud Infrastructure,Consolidated,0,0,,3472.55,,
2022-11-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6420-G&A,G&A,Consolidated,0,0,,3566.40,,
2022-11-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6781-PRO,Professional Services,Consolidated,0,0,,1531.84,,
2022-11-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6361-TRA,Travel,Consolidated,0,0,,1200.44,,
2022-11-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6483-DEP,Depreciation,Consolidated,0,0,,1864.87,,
2022-11-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6256-OTH,Other Operating,Consolidated,0,0,,1794.04,,
2022-12-01,2022,2022-Q4,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,123500.75,30421.11,83186.06,,128883.47,84433.84
2022-12-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6803-PAY,Payroll & Benefits,Consolidated,0,0,,46755.09,,
2022-12-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6585-SAL,Sales & Marketing,Consolidated,0,0,,14421.06,,
2022-12-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6168-RES,Research & Development,Consolidated,0,0,,6999.21,,
2022-12-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6193-CLO,Cloud Infrastructure,Consolidated,0,0,,4103.66,,
2022-12-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6951-G&A,G&A,Consolidated,0,0,,3871.39,,
2022-12-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6187-PRO,Professional Services,Consolidated,0,0,,1734.27,,
2022-12-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6195-TRA,Travel,Consolidated,0,0,,1518.71,,
2022-12-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6542-DEP,Depreciation,Consolidated,0,0,,2058.86,,
2022-12-01,2022,2022-Q4,NovaStack Analytics Inc.,OPEX_DETAIL,6198-OTH,Other Operating,Consolidated,0,0,,1723.81,,
2023-01-01,2023,2023-Q1,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,122764.60,29817.82,79455.24,,128091.74,81658.54
2023-01-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6862-PAY,Payroll & Benefits,Consolidated,0,0,,44448.61,,
2023-01-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6856-SAL,Sales & Marketing,Consolidated,0,0,,13476.04,,
2023-01-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6481-RES,Research & Development,Consolidated,0,0,,6224.13,,
2023-01-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6931-CLO,Cloud Infrastructure,Consolidated,0,0,,3975.34,,
2023-01-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6233-G&A,G&A,Consolidated,0,0,,3367.70,,
2023-01-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6669-PRO,Professional Services,Consolidated,0,0,,1844.56,,
2023-01-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6161-TRA,Travel,Consolidated,0,0,,1706.81,,
2023-01-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6700-DEP,Depreciation,Consolidated,0,0,,2535.05,,
2023-01-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6675-OTH,Other Operating,Consolidated,0,0,,1877.00,,
2023-02-01,2023,2023-Q1,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,123571.63,30599.42,83457.67,,125615.63,87546.25
2023-02-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6675-PAY,Payroll & Benefits,Consolidated,0,0,,47647.66,,
2023-02-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6437-SAL,Sales & Marketing,Consolidated,0,0,,14855.33,,
2023-02-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6786-RES,Research & Development,Consolidated,0,0,,6181.35,,
2023-02-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6225-CLO,Cloud Infrastructure,Consolidated,0,0,,4582.23,,
2023-02-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6520-G&A,G&A,Consolidated,0,0,,2781.35,,
2023-02-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6462-PRO,Professional Services,Consolidated,0,0,,2266.66,,
2023-02-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6994-TRA,Travel,Consolidated,0,0,,1603.48,,
2023-02-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6781-DEP,Depreciation,Consolidated,0,0,,1891.71,,
2023-02-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6868-OTH,Other Operating,Consolidated,0,0,,1647.90,,
2023-03-01,2023,2023-Q1,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,125786.52,30963.00,81839.64,,127690.89,85031.86
2023-03-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6533-PAY,Payroll & Benefits,Consolidated,0,0,,45841.99,,
2023-03-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6988-SAL,Sales & Marketing,Consolidated,0,0,,13219.89,,
2023-03-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6838-RES,Research & Development,Consolidated,0,0,,6435.89,,
2023-03-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6152-CLO,Cloud Infrastructure,Consolidated,0,0,,4652.82,,
2023-03-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6394-G&A,G&A,Consolidated,0,0,,3768.72,,
2023-03-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6714-PRO,Professional Services,Consolidated,0,0,,2592.09,,
2023-03-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6419-TRA,Travel,Consolidated,0,0,,1684.73,,
2023-03-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6460-DEP,Depreciation,Consolidated,0,0,,2071.77,,
2023-03-01,2023,2023-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6206-OTH,Other Operating,Consolidated,0,0,,1571.74,,
2023-04-01,2023,2023-Q2,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,123503.55,30667.40,86064.89,,130040.55,87022.08
2023-04-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6691-PAY,Payroll & Benefits,Consolidated,0,0,,45692.06,,
2023-04-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6619-SAL,Sales & Marketing,Consolidated,0,0,,16948.72,,
2023-04-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6317-RES,Research & Development,Consolidated,0,0,,7539.24,,
2023-04-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6258-CLO,Cloud Infrastructure,Consolidated,0,0,,4525.25,,
2023-04-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6772-G&A,G&A,Consolidated,0,0,,3718.38,,
2023-04-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6593-PRO,Professional Services,Consolidated,0,0,,1811.56,,
2023-04-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6329-TRA,Travel,Consolidated,0,0,,1571.49,,
2023-04-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6967-DEP,Depreciation,Consolidated,0,0,,1946.00,,
2023-04-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6210-OTH,Other Operating,Consolidated,0,0,,2312.19,,
2023-05-01,2023,2023-Q2,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,124801.17,31053.85,83544.60,,132186.59,83704.41
2023-05-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6458-PAY,Payroll & Benefits,Consolidated,0,0,,46243.12,,
2023-05-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6965-SAL,Sales & Marketing,Consolidated,0,0,,15023.09,,
2023-05-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6669-RES,Research & Development,Consolidated,0,0,,7312.15,,
2023-05-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6476-CLO,Cloud Infrastructure,Consolidated,0,0,,4547.33,,
2023-05-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6217-G&A,G&A,Consolidated,0,0,,3158.90,,
2023-05-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6880-PRO,Professional Services,Consolidated,0,0,,1532.06,,
2023-05-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6385-TRA,Travel,Consolidated,0,0,,1655.14,,
2023-05-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6687-DEP,Depreciation,Consolidated,0,0,,2100.22,,
2023-05-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6331-OTH,Other Operating,Consolidated,0,0,,1972.59,,
2023-06-01,2023,2023-Q2,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,128789.66,30654.99,88843.42,,132099.01,92610.45
2023-06-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6926-PAY,Payroll & Benefits,Consolidated,0,0,,49940.41,,
2023-06-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6539-SAL,Sales & Marketing,Consolidated,0,0,,15652.85,,
2023-06-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6965-RES,Research & Development,Consolidated,0,0,,7648.64,,
2023-06-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6674-CLO,Cloud Infrastructure,Consolidated,0,0,,4561.67,,
2023-06-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6885-G&A,G&A,Consolidated,0,0,,3697.07,,
2023-06-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6938-PRO,Professional Services,Consolidated,0,0,,2014.56,,
2023-06-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6736-TRA,Travel,Consolidated,0,0,,1084.39,,
2023-06-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6728-DEP,Depreciation,Consolidated,0,0,,2530.67,,
2023-06-01,2023,2023-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6791-OTH,Other Operating,Consolidated,0,0,,1713.16,,
2023-07-01,2023,2023-Q3,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,129497.04,32176.63,85697.00,,133652.51,88591.96
2023-07-01,2023,2023-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6758-PAY,Payroll & Benefits,Consolidated,0,0,,47295.02,,
2023-07-01,2023,2023-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6670-SAL,Sales & Marketing,Consolidated,0,0,,15897.60,,
2023-07-01,2023,2023-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6126-RES,Research & Development,Consolidated,0,0,,6879.08,,
2023-07-01,2023,2023-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6723-CLO,Cloud Infrastructure,Consolidated,0,0,,4705.57,,
2023-07-01,2023,2023-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6773-G&A,G&A,Consolidated,0,0,,3242.44,,
